id;surname;name;patronymic;human_info
1;surname1;name1;patronymic1;1
2;surname2;name2;patronymic2;2
3;surname3;name3;patronymic3;3
4;surname4;name4;patronymic4;4
5;surname5;name5;patronymic5;5
6;surname6;name6;patronymic6;6
7;surname7;name7;patronymic7;7
8;surname8;name8;patronymic8;8
9;surname9;name9;patronymic9;9
10;surname10;name10;patronymic10;10
11;surname11;name11;patronymic11;11
12;surname12;name12;patronymic12;12
13;surname13;name13;patronymic13;13
14;surname14;name14;patronymic14;14
15;surname15;name15;patronymic15;15
16;surname16;name16;patronymic16;16
17;surname17;name17;patronymic17;17
18;surname18;name18;patronymic18;18
19;surname19;name19;patronymic19;19
20;surname20;name20;patronymic20;20
21;surname21;name21;patronymic21;21
22;surname22;name22;patronymic22;22
23;surname23;name23;patronymic23;23
24;surname24;name24;patronymic24;24
25;surname25;name25;patronymic25;25
26;surname26;name26;patronymic26;26
27;surname27;name27;patronymic27;27
28;surname28;name28;patronymic28;28
29;surname29;name29;patronymic29;29
30;surname30;name30;patronymic30;30
31;surname31;name31;patronymic31;31
32;surname32;name32;patronymic32;32
33;surname33;name33;patronymic33;33
34;surname34;name34;patronymic34;34
35;surname35;name35;patronymic35;35
